epoch,KNN,MLP,val MSE
2,0.30757575757575756,0.44915824915824915,0.006952126348328315
1,0.3067340067340067,0.4419191919191919,0.0097408349043482
0,0.287037037037037,0.2979797979797979,0.0663353036526676
2,0.3011784511784511,0.4367003367003367,0.0074931513245149
1,0.3112794612794612,0.4414141414141414,0.0102492089682716
0,0.2611111111111111,0.2621212121212121,0.0649952368271499
2,0.2762626262626262,0.4124579124579124,0.0082500588999098
1,0.2791245791245791,0.3723905723905724,0.0082500589048724
0,0.2131313131313131,0.324074074074074,0.0129768872107536
2,0.3129629629629629,0.4335016835016835,0.0077755690575453
1,0.2772727272727273,0.4124579124579124,0.007775569055064
0,0.2222222222222222,0.3516835016835017,0.0093783541461767
2,0.3127946127946128,0.4501683501683501,0.0074748563212979
1,0.3129629629629629,0.4252525252525252,0.0074748563237792
0,0.2239057239057239,0.351010101010101,0.012778578140834
2,0.2892255892255892,0.4306397306397306,0.0068706624990669
1,0.3119528619528619,0.4276094276094276,0.0068706625023754
0,0.2420875420875421,0.3772727272727272,0.0095073969349873
2,0.3079124579124579,0.4516835016835017,0.0071475668835121
1,0.3158249158249158,0.4429292929292929,0.0100664709798899
0,0.2769360269360269,0.292087542087542,0.0634442545725016
2,0.2875420875420875,0.4476430976430976,0.00698894645099
1,0.2936026936026936,0.4459595959595959,0.0099190052732706
0,0.2429292929292929,0.1803030303030303,0.0637767481324833
2,0.2932659932659933,0.4363636363636363,0.0061746442204152
1,0.3062289562289562,0.4368686868686868,0.0086321116401937
0,0.2717171717171717,0.2097643097643097,0.0646920842292253
2,0.2971380471380471,0.4405723905723905,0.0066102420419891
1,0.3191919191919192,0.4473063973063973,0.0094884601479551
0,0.2981481481481481,0.3252525252525252,0.0643459643447378
2,0.3074074074074074,0.4658249158249158,0.0068084102820399
1,0.3245791245791246,0.4644781144781145,0.0092826647953614
0,0.267003367003367,0.2338383838383838,0.0635264037941213
2,0.307070707070707,0.4572390572390572,0.0066690927273784
1,0.3122895622895623,0.4538720538720538,0.0092614450885667
0,0.2737373737373737,0.3082491582491583,0.0640144750846427
2,0.3363636363636363,0.4708754208754209,0.0061301369679889
0,0.3363636363636363,0.4708754208754209,0.0061301369679889
1,0.3294612794612794,0.4538720538720538,0.0087552796511664
0,0.3294612794612794,0.4538720538720538,0.008755279656129
0,0.3003367003367003,0.286026936026936,0.0642126248504298
0,0.3003367003367003,0.286026936026936,0.0642126248636635
2,0.3106060606060606,0.4430976430976431,0.0071361240050813
1,0.3146464646464647,0.4417508417508417,0.0097072264799917
0,0.2542087542087542,0.2461279461279461,0.0639039098448905
2,0.2863636363636364,0.4375420875420875,0.006977680281506
1,0.3186868686868687,0.437037037037037,0.0100535256324954
0,0.2688552188552188,0.2742424242424242,0.0657984994907679
2,0.2914141414141414,0.4361952861952862,0.00722696747032
1,0.3095959595959596,0.422053872053872,0.0100179411285618
0,0.2641414141414141,0.2944444444444444,0.063883849957273
2,0.2816498316498316,0.4427609427609427,0.0065285195290486
1,0.3102693602693602,0.4515151515151515,0.0090436274930173
0,0.2769360269360269,0.3018518518518518,0.0640921138862204
2,0.2821548821548821,0.4387205387205387,0.007133610246349
1,0.3043771043771043,0.4313131313131313,0.0104322680478938
0,0.2617845117845118,0.2617845117845118,0.0629464519238281
2,0.2986531986531986,0.4395622895622895,0.0071004646305874
1,0.3213804713804714,0.4476430976430976,0.0097307763517326
0,0.2776094276094276,0.2836700336700337,0.0646704234923922
